NEW_LSID,DATE,QUERY_ID,SUPPORT_PERSON,QUERY_TYPE,QUERY_DETAIL,PROPERTY,ASSIGNED_TO,STATUS,COMMENT,SPATIAL_PUBLISH_DATE,ERF_KEY,PROP_ID
251,2024-02-20,483926,Bongi,Pulse,PW reset,ABSA,Saul,Done,,,ABSA,
252,2024-02-21,484030,Khanya,Owner,,Bryanston~5180~5 - Don & Van Straaten,Barend,TBD,,,- &,
253,2024-02-21,484082,Zeldah,CAD,,"Albertinia~388  388~00000 was subdivided into erven 1109, 1110 and remaindeand 1060 1060 was  subdivided into erven 4051-4052 and remainder. ",Jones,Test,,,"388~00000 1109, 1110 1060 1060  4051-4052 ",
254,2024-02-21,484088,Zeldah,Scheme,,"SS 33 Centre Road, Morningside - missing units 1 and 7 - SS report not correct",Gerrit,TBD,,,MORNINGSIDE~188~00000,10674550
255,2024-02-21,484157,Pearl,CAD,,JR~340~288,Jones,Test,,,JR~340~288,
256,2024-02-21,483153,Bongi,Telesure,,Eyepeta Bohlokong,Aldeleen,Done,,,,
257,2024-02-21,484148,Zeldah,Other,Missing portions,Eersterivierstrand~626~61,Bets,Done,,,,
258,2024-02-21,483073,Bongi,Scheme,,SS Trocadero u35 Missing on V1,Elisha,Done,,,SS V1,
259,2024-02-21,483292,Pearl,Owner,,Lotus Gardens~344 - 8252579200101 - Modisane,Barend,TBD,,,- 8252579200101 -,
260,2024-02-22,484211,Zeldah,NAD,,JAMESTOWN WC~792~00000 – #55 Tiobelle Crescent,Mawande,Test,,,JAMESTOWN WC~792~00000 – #55,
261,2024-02-22,484337,Bongi,NAD,,STELLENBOSCH~17225~00000 – #44 Merton Street,Mawande,Test,,,STELLENBOSCH~17225~00000 – #44,
262,2024-02-22,484364,Zeldah,Owner,ID Number,Saulsville~2102,Barend,TBD,,,,
263,2024-02-22,484262,Khanya,NAD,,BRYANSTON~1657~00000 – #16 Wilton Avenue,Mawande,Test,,,BRYANSTON~1657~00000 – #16,
264,2024-02-22,484344,Khanya,Owner,,U2 SS Hervonine Heights Searle,Barend,TBD,,,U2 SS,
265,2024-02-22,484322,Khanya,NAD,,PEACEHAVEN~367~00000 – #70 General Hertzog Road,Mawande,Test,,,PEACEHAVEN~367~00000 – #70,
266,2024-02-22,484090,Zeldah,NAD,,CAPE TOWN~148052~00000 – #24 9th Avenue,Mawande,Test,,,CAPE TOWN~148052~00000 – #24,
267,2024-02-22,484393,Bongi,CAD,,ERF 158 EVERTON ,Jones,TBD,,,EVERTON~158~00000,15884188
178,2024-02-08,482050,Khanya,Telesure,,Eqwabe Dordrecht,Aldeleen,TBD,,,,
179,2024-02-08,482047,Khanya,Telesure,,Eplangweni Mapumulo,Aldeleen,TBD,,,,
180,2024-02-08,481842,Bernice,Owner,,SS Kesdwick U42 Rambau,Barend,Test,,,SS U42,
181,2024-02-08,482113,Bernice,NAD,,PIET POTGIETERSRUST~2143~00000 – #3 Goud Street,Mawande,Test,,,PIET POTGIETERSRUST~2143~00000 – #3,
182,2024-02-08,482121,Pearl,Bond,Experian,SS Sunflower Villa's U3 800k Nedbank bond,Kathy,Test,,,KRAAIFONTEIN~37082~00000,
183,2024-02-09,481867,Prince,CAD,,"IFAFI~1115~00175-00176 were consolidated into portion 00245, ",Jones,Test,,,"IFAFI~1115~00175-00176 00245, ",
184,2024-02-09,481416,Prince,CAD,,"FT~11880~00002 which belongs to REVIEW INV PTY LTD together with FT~950~00018,",Jones,Test,,,"FT~11880~00002 REVIEW INV PTY LTD FT~950~00018,",
185,2024-02-09,482202,Refiloe,Other,Transfers without Price,Zinkwazi Beach,Bets,Done,,,,
186,2024-02-09,,Nedbank,Bond,,ERF 16 PORTION 14 Missing Bond - TRANS-ELANDS BOERDERYMAATSKAPP,Kathy,Test,,,ERF 16 PORTION 14 - TRANS-ELANDS BOERDERYMAATSKAPP,
187,2024-02-09,482219,Bernice,CIPC,Experian,TRANS-ELANDS BOERDERYMAATSKAPPY PTY LTD (196500970607) Nedbank Bond B2145/2021,Kathy,Test,,,TRANS-ELANDS BOERDERYMAATSKAPPY PTY LTD (196500970607) B2145/2021,
188,2024-02-12,482337,Khanya,Owner,,"SS SAN RIDGE HEIGHTS  
Comment: Deeds search on UNIT NUMBER : 258 NAME OF COMPLEX: SS SAN RIDGE HEIGHTS indicates the owner should be SAN ",Barend,Test,,,ERAND GARDENS~827~00000,17889531
189,2024-02-12,482371,Pearl,CAD,,for BRYANSTON~4895~00000,Jones,Done,,,BRYANSTON~4895~00000,
190,2024-02-12,482371,Pearl,NAD,,BRYANSTON~4895~00000 – 32D Arklow Road,Mawande,Test,,,BRYANSTON~4895~00000 – 32D,
191,2024-02-12,482199,Prince,Bond,Experian,Groblersdal~1040 - Missing 205 Ned bond ,Barend,Test,,,- 205 ,
192,2024-02-12,482329,Zeldah,CAD,Cons & Servitude,JQ~529~54,Jones,Done,Not registered,,JQ~529~54,
193,2024-02-12,482283,Zeldah,NAD,,PIETERSBURG~6523~00000 – #9 Kabeljou Avenue (Primary),Mawande,Test,,,PIETERSBURG~6523~00000 – #9,
194,2024-02-12,482145,Prince,Estate,,Guildford Manor -7 hunter str Douglasdale - should have 20 units Douglasdale~1342  erf 1 to 19,Aldeleen,Test,,,DOUGLASDALE~1342~00021,
195,2024-02-12,482273,Bernice,NAD,,Sea View~555 11 Coral Close,Mawande,Test,,,11,
196,2024-02-12,482320,Prince,Price,No sales price,SS  Sandton Manor U 12 16 30,Barend,Done,,,HUNTERS RETREAT~4311~00000,
197,2024-02-12,482363,Khanya,CAD,,KENSINGTON~4586~00000 – 12 Westmoreland Road,Jones,Test,Not registered,,KENSINGTON~4586~00000 – 12,
198,2024-02-13,482608,Zeldah,NAD,,MURRAYFIELD~541~00000 – #248 Rosalind Road,Mawande,Done,,,MURRAYFIELD~541~00000 – #248,
199,2024-02-13,482686,Zeldah,Pulse,,ABSA reports not opening ,Teddy,Done,,,ABSA ,
200,2024-02-12,482285,Refiloe,Bond,Experian,JS~16~14 0 o active bond - B2145/2021 was registered over multiple properties. Received bond deletion in Feb 223.,Gerrit,Test,,,JS~16~14 0 - B2145/2021 223.,
201,2024-02-13,482646,Zeldah,CAD,,"Farm 9146, Paarl RD",Jones,Done,Does not exist and need more info from client,,"9146, RD",
202,2024-02-13,,Khanya,Owner,,SS Canterbury U11 - Haemen,Barend,Done,,,SS U11 -,
203,2024-02-13,482584,Zeldah,CAD,,FAIRLAND~1255~00000 – #131 Smit Street,Jones,Test,Check if registered,,FAIRLAND~1255~00000 – #131,
204,2024-02-13,482584,Zeldah,NAD,,FAIRLAND~1255~00000 – #131 Smit Street,Mawande,Test,,,FAIRLAND~1255~00000 – #131,
205,2024-02-13,482341,Khanya,Size,,"Milnerton~35673, 35678",Barend,Test,,,35678,
206,2024-02-13,482273,Khanya,NAD,,"streets in Sea View, Nelson Mandela Bay ",Mawande,Test,,,,
207,2024-02-13,482755,Khanya,Diagram,,for     Ptn 4 Farm 407 ZEVENFONTEIN Reg Div: JR GAUTENG,Jones,Done,,,JR~407~00004,15269461
208,,482173,Prince,Size,,U19 Jeffreys Bay Villas  size 109 m2,Barend,Test,,,JEFFREYS BAY~5886~00000,14849407
209,2024-02-13,482758,Pearl,CAD,Cons,Simons' Town~3852 into 4516,Jones,Test,,,4516,
210,2024-02-14,482826,Bongi,Owner,Sec 45,SS Noon's Place U 70 - JC Lombard,Barend,Test,,,BUCCLEUCH~68~00000,
211,2024-02-14,482673,Pearl,Bond,Experian,U2 SS 65 on Marine Nedbank 670k bond - No bond registered in DO,Barend,Done,,,HERMANUS~628~00000,16702599
212,2024-02-14,482864,Pearl,CAD,,"LS_Suburb_ID: 5891 for Rusthof, Strand,  Erijaville Strand",Aldeleen,Done,,,5891 ,
213,2024-02-14,482864,Pearl,CAD,,Sandhurst~33~2,Jones,Done,,,,
214,2024-02-14,482783,Pearl,Telesure,,Esilindini Village Sterkspruit,Aldeleen,Test,,,,
215,2024-02-14,482575,Zeldah,My Area,,My area report,Elisha,IP,waiting cleint info,,,
216,2024-02-14,482778,Bongi,Telesure,,"Esikhaleni”, Esikhawini, 3887 (Richards Bay area, Kwa Zulu Natal)",Aldeleen,Test,,,3887,
217,2024-02-14,482785,Bongi,Telesure,,"Isiphetweni Tembisa LS_Suburb_ID: 2488 for “Isiphetweni”, Thembisa, ",Aldeleen,Done,,,2488 ,
218,2024-02-15,483009,Zeldah,CAD,,SS WBSR/800 U1,Jones,Done,,,SS WBSR/800 U1,
219,2024-02-15,481856,Busi,Owner,,HAMMANSKRAAL~2~00000| Owner Details| 481856,Gerrit,Test,,,HAMMANSKRAAL~2~00000| 481856,
220,2024-02-15,482960,Zeldah,Owner,,SS Oboe park U 5,Gerrit,Test,,,THE REEDS~5324~00000,
221,2024-02-15,,Russel,EZVal,street line,"SS FRENOLEEN - erf 10356, Durban and the StreetAddress linked to that erf is 551 Mahatma Gandhi Road",Gerrit,Test,,,DURBAN~10356~00000,
222,2024-02-15,482849,Zeldah,Diagram,, ERF 382 Bramley,Jones,Done,,,BRAMLEY~382~00000,16988544
223,2024-02-15,482360,Bongi,Other,Grasp,Definitions on Suburb report,Bets,Done,,,,
224,2024-02-15,482772,Zeldah,Other,SS Ranking,SS Ocean View Villas Port Edward,Bets,Done,,,PORT EDWARD~986~00000,
225,2024-02-15,482797,Zeldah,Telesure,,"Cloetes Park Bethulie LS_SUBURB_ID: 674 for Cloetes Park, Bethulie ",Aldeleen,TBD,,,LS_SUBURB_ID: 674 ,
226,2024-02-15,482780,Zeldah,Telesure,,Esikhobeni Cofimvaba,Aldeleen,Test,,,,
227,2024-02-15,482759,Zeldah,Telesure,,Esdabrook Umtata LS_Suburb_ID: 575 for Mthatha,Aldeleen,Done,,,575,
228,2024-02-15,482757,Prince,Telesure,,"Escom House Sebokeng use the new suburb of Cyferpan, Sebokeng",Aldeleen,Test,,,,
229,2024-02-15,482735,Prince,NAD,,YZERFONTEIN~2880~00000 – #2 Caracal Close,Mawande,Test,,,YZERFONTEIN~2880~00000 – #2,
230,2024-02-15,482778,Bongi,Telesure,,Esikhaleni Ubombo,Aldeleen,TBD,,,,
231,2024-02-15,483093,Refiloe,Telesure,,"Ethubelihle Kriel LS_Suburb_ID: 3973 for “Thubelihle”, Kriel, 2271 ",Aldeleen,Done,,,THUBELIHLE~3973~00000,16767726
232,2024-02-15,482731,Refiloe,Owner,,Kleve Hill Prk~118~1 - Balzer,Barend,Test,,,KLEVE AH~1~00000,12173431
233,2024-02-15,483124,Refiloe,NAD,,KABEGA~1276~00000 – #25 Barnard Avenue,Mawande,Test,,,KABEGA~1276~00000 – #25,
234,2024-02-15,483153,Bongi,Telesure,,Eyepeta Bohlokong,Aldeleen,TBD,,,,
235,2024-02-15,483156,Bongi,Telesure,, Ezibayeni Hluhluwe,Aldeleen,TBD,,,,
